CmpoAcc,FigureCmpoName,CmpoPhenotypeCategory,FigureCategoryName
CMPO_0000051,increased cell numbers,altered cell number in population,altered cell number in population
CMPO_0000052,decreased cell numbers,altered cell number in population,altered cell number in population
CMPO_0000075,fewer cells with projections,altered cell number in population,altered cell number in population
CMPO_0000083,more lamellipodia cells,altered cell number in population,altered cell number in population
CMPO_0000241,proliferating cells,altered cell number in population,altered cell number in population
CMPO_0000263,more cells in M phase,altered cell number in population,altered cell number in population
CMPO_0000300,more multinucleate cells,altered cell number in population,altered cell number in population
CMPO_0000340,increased cell size in population,altered cell number in population,altered cell number in population
CMPO_0000416,fewer aggregated cells in population,altered cell number in population,altered cell number in population
CMPO_0000042,increased cell component number,cell component number phenotype,cell component number
CMPO_0000067,decreased number of filopodia,cell component number phenotype,cell component number
CMPO_0000068,decreased number of microtubules,cell component number phenotype,cell component number
CMPO_0000076,increased number of filopodia,cell component number phenotype,cell component number
CMPO_0000097,increased number of microtubules,cell component number phenotype,cell component number
CMPO_0000289,increased amount of stress fibers,cell component number phenotype,cell component number
CMPO_0000297,increased amount of stress fibers located in the cell cortex,cell component number phenotype,cell component number
CMPO_0000298,increased amount of transverse stress fibers,cell component number phenotype,cell component number
CMPO_0000299,increased amount of zig-zag stress fibers,cell component number phenotype,cell component number
CMPO_0000372,increased number of microtubule bundle,cell component number phenotype,cell component number
CMPO_0000202,mitosis delayed,cell cycle phenotype,cell cycle
CMPO_0000212,abnormal cell cycle,cell cycle phenotype,cell cycle
CMPO_0000216,absence of mitotic chromosome decondensation,cell cycle phenotype,cell cycle
CMPO_0000218,mitotic chromosome condensation,cell cycle phenotype,cell cycle
CMPO_0000328,increased duration of mitotic prophase,cell cycle phenotype,cell cycle
CMPO_0000338,mitosis arrested,cell cycle phenotype,cell cycle
CMPO_0000344,prometaphase delayed,cell cycle phenotype,cell cycle
CMPO_0000348,mitotic metaphase plate congression,cell cycle phenotype,cell cycle
CMPO_0000087,S phase mitotic,cell cycle phase phenotype,cell cycle phase
CMPO_0000196,M phase arrested,cell cycle phase phenotype,cell cycle phase
CMPO_0000265,M phase mitotic,cell cycle phase phenotype,cell cycle phase
CMPO_0000305,metaphase arrested,cell cycle phase phenotype,cell cycle phase
CMPO_0000307,metaphase delayed,cell cycle phase phenotype,cell cycle phase
CMPO_0000329,decreased duration of mitotic prophase,cell cycle phase phenotype,cell cycle phase
CMPO_0000343,prometaphase arrested,cell cycle phase phenotype,cell cycle phase
CMPO_0000437,abnormal mitotic cell cycle phase,cell cycle phase phenotype,cell cycle phase
CMPO_0000005,cell morphology,cell morphology phenotype,cell morphology
CMPO_0000048,apoptotic cell shape,cell morphology phenotype,cell morphology
CMPO_0000071,cell with projections,cell morphology phenotype,cell morphology
CMPO_0000077,elongated cell,cell morphology phenotype,cell morphology
CMPO_0000116,abnormal cell shape,cell morphology phenotype,cell morphology
CMPO_0000118,round cell,cell morphology phenotype,cell morphology
CMPO_0000122,triangular shaped cell,cell morphology phenotype,cell morphology
CMPO_0000128,increased cell size,cell morphology phenotype,cell morphology
CMPO_0000129,decreased cell size,cell morphology phenotype,cell morphology
CMPO_0000261,geometric cell,cell morphology phenotype,cell morphology
CMPO_0000267,star shaped cell,cell morphology phenotype,cell morphology
CMPO_0000364,S-shaped cell,cell morphology phenotype,cell morphology
CMPO_0000365,curved cell,cell morphology phenotype,cell morphology
CMPO_0000366,pear-shaped cell,cell morphology phenotype,cell morphology
CMPO_0000367,stubby cell,cell morphology phenotype,cell morphology
CMPO_0000428,fan-shaped cell,cell morphology phenotype,cell morphology
CMPO_0000269,increased variability of cell size in population,cell population phenotype by morphology,cell population by morphology
CMPO_0000270,increased variability of cell shape in population,cell population phenotype by morphology,cell population by morphology
CMPO_0000282,layered cells in population,cell population phenotype by morphology,cell population by morphology
CMPO_0000345,increased variability of nuclear shape in population,cell population phenotype by morphology,cell population by morphology
CMPO_0000378,more cells with metaphase microtubule spindles,cell population phenotype by morphology,cell population by morphology
CMPO_0000383,more cells with interphase microtubule arrays,cell population phenotype by morphology,cell population by morphology
CMPO_0000387,fewer cells with metaphase microtubule spindles,cell population phenotype by morphology,cell population by morphology
CMPO_0000388,fewer cells with interphase microtubule arrays,cell population phenotype by morphology,cell population by morphology
CMPO_0000410,fewer cells with G1 phase microtubule arrays,cell population phenotype by morphology,cell population by morphology
CMPO_0000412,more cells with G1 phase microtubule arrays,cell population phenotype by morphology,cell population by morphology
CMPO_0000413,more cells with S phase microtubule arrays,cell population phenotype by morphology,cell population by morphology
CMPO_0000133,increased cilium length,cell projection phenotype,cell projection
CMPO_0000224,decreased axon thickness,cell projection phenotype,cell projection
CMPO_0000252,cilium morphology,cell projection phenotype,cell projection
CMPO_0000266,asymmetric lamellipodia,cell projection phenotype,cell projection
CMPO_0000277,decreased lamellipodia width,cell projection phenotype,cell projection
CMPO_0000278,fan-shaped lamellipodia,cell projection phenotype,cell projection
CMPO_0000280,cell projection,cell projection phenotype,cell projection
CMPO_0000010,cell component size,cellular component phenotype,cellular component
CMPO_0000012,cell component structure,cellular component phenotype,cellular component
CMPO_0000259,cellular component,cellular component phenotype,cellular component
CMPO_0000276,increased lamellipodia width,cellular component phenotype,cellular component
CMPO_0000303,cell component morphology,cellular component phenotype,cellular component
CMPO_0000104,actin filament,cytoskeletal phenotype,cytoskeletal
CMPO_0000105,increased number of actin filament,cytoskeletal phenotype,cytoskeletal
CMPO_0000106,decreased number of actin filament,cytoskeletal phenotype,cytoskeletal
CMPO_0000147,disorganized microtubules,cytoskeletal phenotype,cytoskeletal
CMPO_0000272,increased cortical actin cytoskeleton mass,cytoskeletal phenotype,cytoskeletal
CMPO_0000273,decreased cortical actin cytoskeleton mass,cytoskeletal phenotype,cytoskeletal
CMPO_0000274,disorganised cortical actin cytoskeleton,cytoskeletal phenotype,cytoskeletal
CMPO_0000283,actin cytoskeleton,cytoskeletal phenotype,cytoskeletal
CMPO_0000286,aggregated microtubules,cytoskeletal phenotype,cytoskeletal
CMPO_0000287,microtubules nuclear bracket,cytoskeletal phenotype,cytoskeletal
CMPO_0000288,microtubules nuclear ring,cytoskeletal phenotype,cytoskeletal
CMPO_0000291,increased amount of punctate actin foci,cytoskeletal phenotype,cytoskeletal
CMPO_0000294,increased actin localised to the nucleus,cytoskeletal phenotype,cytoskeletal
CMPO_0000296,increased actin localised to the cytoplasm,cytoskeletal phenotype,cytoskeletal
CMPO_0000302,actin nuclear ring,cytoskeletal phenotype,cytoskeletal
CMPO_0000370,elongated cytoplasmic microtubules,cytoskeletal phenotype,cytoskeletal
CMPO_0000371,shortened cytoplasmic microtubules,cytoskeletal phenotype,cytoskeletal
CMPO_0000376,microtubule spindle morphology,cytoskeletal phenotype,cytoskeletal
CMPO_0000438,abnormal microtubule cytoskeleton morphology during mitotic interphase,cytoskeletal phenotype,cytoskeletal
CMPO_0000112,apoptopic nucleus,nuclear phenotype,nuclear
CMPO_0000117,bilobed nucleus,nuclear phenotype,nuclear
CMPO_0000123,round nucleus,nuclear phenotype,nuclear
CMPO_0000140,increased nucleus size,nuclear phenotype,nuclear
CMPO_0000141,decreased nucleus size,nuclear phenotype,nuclear
